Medicine_ID,Medicine_Name,Generic_Name,Category,Manufacturer,Dosage_Form,Strength,Unit_Price_INR,Pack_Size,Quantity_In_Stock,Reorder_Level,Batch_Number,Manufacturing_Date,Expiry_Date,Prescription_Required,Schedule,Storage_Condition,Description
MED0011,Ibugesic,Norfloxacin,Bronchodilator,Micro Labs,Suppository,5ml,974.59,15,953,10,EF4640,2025-09-08,2029-10-06,Yes,H,Refrigerate at 2-8°C,"Norfloxacin 5ml Suppository used for treatment"
MED0012,Voveran,Ofloxacin,Antihistamine,Alkem Labs,Suppository,300mg,669.24,15,2083,172,PO7638,2024-10-24,2029-02-05,No,G,Store at room temperature (15-30°C),"Ofloxacin 300mg Suppository used for treatment"
MED0013,Diclomol,Levofloxacin,Antihistamine,Cipla Ltd.,Suspension,200ml,873.77,500ml,3835,49,TH5814,2025-04-02,2029-02-11,Yes,X,Refrigerate at 2-8°C,"Levofloxacin 200ml Suspension used for treatment"
MED0014,Flexon,Metronidazole,Bronchodilator,MSD Pharma,Gel,100ml,930.01,500ml,3695,141,NY1821,2025-12-18,2027-05-17,No,OTC,Refrigerate at 2-8°C,"Metronidazole 100ml Gel used for treatment"
MED0015,Meftal,Tinidazole,Antihistamine,Wockhardt Ltd.,Solution,800mg,443.76,30,3429,86,NU3958,2025-07-24,2029-05-06,Yes,X,Store below 30°C away from light,"Tinidazole 800mg Solution used for treatment"
MED0016,Ponstan,Fluconazole,Antihypertensive,Abbott India,Inhaler,100mg,773.12,20,1325,41,JM8299,2025-03-24,2028-11-02,Yes,OTC,Store in cool and dry place,"Fluconazole 100mg Inhaler used for treatment"
MED0017,Azithral,Clotrimazole,Antitubercular,Glenmark Pharma,Gel,200mg,905.88,10,2726,117,AS5046,2025-05-13,2026-10-20,No,H,Store below 25°C in a dry place,"Clotrimazole 200mg Gel used for treatment"
MED0018,Zithromax,Itraconazole,Antimalarial,Mankind Pharma,Cream,1g,187.75,20,183,157,LS8289,2024-10-20,2026-05-25,Yes,H1,Protect from moisture and light,"Itraconazole 1g Cream used for treatment"
MED0019,Azee,Griseofulvin,Anxiolytic,Emcure Pharma,Suppository,25mg,108.03,20,2625,180,DH1073,2024-04-27,2027-03-22,No,G,Store below 25°C in a dry place,"Griseofulvin 25mg Suppository used for treatment"
MED0020,Amoxil,Fexofenadine,Anxiolytic,Biocon Ltd.,Patch,5mg,141.04,60,3260,109,LY2490,2024-07-05,2028-04-09,Yes,OTC,Keep in a dry place away from sunlight,"Fexofenadine 5mg Patch used for treatment"
MED0021,Mox,Cetirizine HCl,Vitamin,Bayer India,Suspension,100mg,738.84,30,4754,165,JT4122,2024-04-25,2027-09-07,No,G,Store at room temperature (15-30°C),"Cetirizine HCl 100mg Suspension used for treatment"
MED0022,Augmentin,Montelukast,Antitubercular,Emcure Pharma,Cream,200mg,677.25,60,4392,138,YO9352,2024-05-21,2026-07-14,Yes,X,Protect from moisture and light,"Montelukast 200mg Cream used for treatment"
MED0023,Clavam,Levocetirizine,Anxiolytic,Mankind Pharma,Suppository,25mg,719.57,500ml,3131,158,AW5196,2025-10-01,2028-03-04,Yes,X,Protect from moisture and light,"Levocetirizine 25mg Suppository used for treatment"
MED0024,Ciproflox,Triprolidine+Pseudoephedrine,Antihistamine,MSD Pharma,Suppository,50mg,283.15,30,291,162,CC7408,2025-07-24,2026-08-19,No,OTC,Refrigerate at 2-8°C,"Triprolidine+Pseudoephedrine 50mg Suppository used for treatment"
MED0025,Ciplox,Diphenhydramine,NSAID,Ajanta Pharma,Solution,20mg,369.07,15,2528,25,LH7899,2024-02-18,2029-12-11,Yes,H,Store at room temperature (15-30°C),"Diphenhydramine 20mg Solution used for treatment"
MED0026,Norflox,Salbutamol,Iron Supplement,Torrent Pharma,Drops,400mg,881.30,20,418,83,SY8157,2025-11-06,2026-07-01,No,X,Store in cool and dry place,"Salbutamol 400mg Drops used for treatment"
MED0027,Oflomac,Theophylline+Etofylline,Antihypertensive,Aurobindo Pharma,Tablet,100mg,634.63,20,4110,176,ZH8955,2025-04-25,2028-04-05,No,G,Store below 25°C in a dry place,"Theophylline+Etofylline 100mg Tablet used for treatment"
MED0028,Levoflox,Formoterol+Budesonide,Antifungal,Cipla Ltd.,Patch,25mg,264.62,200ml,4921,75,NM8105,2025-07-19,2027-02-20,No,X,Protect from moisture and light,"Formoterol+Budesonide 25mg Patch used for treatment"
MED0029,Metrogyl,Salmeterol+Fluticasone,Analgesic,Cipla Ltd.,Gel,5mg,171.31,20,2328,188,GU2419,2025-12-17,2027-07-22,No,X,Keep in a dry place away from sunlight,"Salmeterol+Fluticasone 5mg Gel used for treatment"
MED0030,Flagyl,Budesonide,Antitubercular,Alkem Labs,Gel,75mg,989.14,100,824,159,NA7668,2024-06-01,2029-07-03,Yes,G,Store at room temperature (15-30°C),"Budesonide 75mg Gel used for treatment"
MED0031,Tiniba,Ipratropium+Levosalbutamol,Analgesic,GSK Pharma,Inhaler,15ml,74.34,10,3957,60,XZ8689,2025-12-07,2029-03-12,No,H,Protect from moisture and light,"Ipratropium+Levosalbutamol 15ml Inhaler used for treatment"
MED0032,Fluconazole,Pantoprazole,Antitubercular,Ipca Labs,Suspension,200mg,628.51,200ml,3485,195,PX1930,2025-04-07,2026-02-07,No,OTC,Store in cool and dry place,"Pantoprazole 200mg Suspension used for treatment"
MED0033,Candid,Pantoprazole+Domperidone,NSAID,Ajanta Pharma,Gel,800mg,856.15,20,2221,180,FI3988,2024-09-07,2026-10-17,No,OTC,Refrigerate at 2-8°C,"Pantoprazole+Domperidone 800mg Gel used for treatment"
MED0034,Itraconazole,Omeprazole,Anticoagulant,Cadila Healthcare,Syrup,10ml,147.20,10,4932,139,OO1825,2024-03-13,2026-12-07,No,OTC,Store at room temperature (15-30°C),"Omeprazole 10ml Syrup used for treatment"
MED0035,Grisovin,Ranitidine HCl,Anticonvulsant,FDC Ltd.,Suspension,62.5mg,343.00,200ml,3317,85,ME3088,2025-10-13,2026-09-06,Yes,X,Refrigerate at 2-8°C,"Ranitidine HCl 62.5mg Suspension used for treatment"
MED0036,Allegra,Famotidine,Anxiolytic,Wockhardt Ltd.,Powder,20mg,220.99,20,495,99,YN3416,2025-10-04,2028-10-17,No,H1,Store in cool and dry place,"Famotidine 20mg Powder used for treatment"
MED0037,Cetirizine,Sucralfate,Antibiotic,Dr. Reddy's,Drops,500mg,925.68,60,1869,51,EM8621,2024-11-22,2028-03-11,Yes,OTC,Store at room temperature (15-30°C),"Sucralfate 500mg Drops used for treatment"
MED0038,Zyrtec,Aluminium+Magnesium Hydroxide,Antidepressant,Hetero Labs,Capsule,100ml,213.74,20,1609,63,EI3274,2024-04-13,2026-03-04,No,X,Store below 30°C away from light,"Aluminium+Magnesium Hydroxide 100ml Capsule used for treatment"
MED0039,Montair,Sodium Alginate,NSAID,Intas Pharma,Gel,37.5mg,856.99,100,1321,74,QA3772,2025-09-23,2028-04-02,No,G,Keep in a dry place away from sunlight,"Sodium Alginate 37.5mg Gel used for treatment"
MED0040,Levocet,Metformin HCl,Anticoagulant,Micro Labs,Suspension,650mg,982.99,60,3780,144,BN4009,2024-09-18,2029-01-12,No,H1,Keep in a dry place away from sunlight,"Metformin HCl 650mg Suspension used for treatment"
MED0041,Sinarest,Glimepiride,Antimalarial,FDC Ltd.,Drops,1%,159.94,500ml,2233,199,SF9309,2024-02-12,2027-01-12,Yes,G,Store at room temperature (15-30°C),"Glimepiride 1% Drops used for treatment"
MED0042,Benadryl,Sitagliptin,Thyroid,Biocon Ltd.,Syrup,62.5mg,619.41,100ml,1049,21,DE4147,2024-11-12,2029-07-18,No,OTC,Store below 25°C in a dry place,"Sitagliptin 62.5mg Syrup used for treatment"
MED0043,Asthalin,Vildagliptin,Antidepressant,Novartis India,Injection,800mg,611.68,60,2693,54,JE8507,2025-10-04,2028-05-12,No,G,Store at room temperature (15-30°C),"Vildagliptin 800mg Injection used for treatment"
MED0044,Deriphyllin,Linagliptin,Antidiabetic,Cadila Healthcare,Ointment,100ml,921.25,10,4888,109,FC9240,2024-02-14,2026-06-08,No,X,Store below 25°C in a dry place,"Linagliptin 100ml Ointment used for treatment"
MED0045,Foracort,Empagliflozin,Bronchodilator,Emcure Pharma,Gel,500mg,162.77,20,4917,175,FK9065,2025-09-11,2028-12-19,Yes,G,Store at room temperature (15-30°C),"Empagliflozin 500mg Gel used for treatment"
MED0046,Seroflo,Canagliflozin,Bronchodilator,Hetero Labs,Gel,7.5mg,477.73,30,758,108,DR6043,2025-11-23,2026-04-22,No,X,Store below 25°C in a dry place,"Canagliflozin 7.5mg Gel used for treatment"
MED0047,Budecort,Insulin Human,Statin,Biocon Ltd.,Suspension,62.5mg,248.37,100,3049,23,YY5407,2024-06-01,2028-01-09,Yes,G,Store at room temperature (15-30°C),"Insulin Human 62.5mg Suspension used for treatment"
MED0048,Duolin,Insulin Glargine,Antidepressant,Hetero Labs,Powder,25mg,157.03,30,4580,142,GJ5516,2024-07-28,2027-04-09,Yes,H1,Store below 30°C away from light,"Insulin Glargine 25mg Powder used for treatment"
MED0049,Ventolin,Amlodipine Besylate,Antiparasitic,Cipla Ltd.,Tablet,62.5mg,884.47,20,967,191,ZP2573,2024-10-14,2029-04-20,No,H,Store in cool and dry place,"Amlodipine Besylate 62.5mg Tablet used for treatment"
MED0050,Salbutamol,Telmisartan,Antiemetic,Torrent Pharma,Injection,37.5mg,942.32,20,232,200,OG1527,2025-07-13,2027-11-21,Yes,G,Store below 30°C away from light,"Telmisartan 37.5mg Injection used for treatment"
MED0051,Pantop,Losartan Potassium,Opioid Analgesic,AstraZeneca,Ointment,300mg,38.37,500ml,751,73,PO4991,2025-02-12,2028-01-01,No,X,Store at room temperature (15-30°C),"Losartan Potassium 300mg Ointment used for treatment"
MED0052,Pan-D,Enalapril Maleate,Analgesic,Glenmark Pharma,Drops,200mg,628.12,100,873,123,GT7346,2024-12-21,2026-08-02,No,H1,Store below 25°C in a dry place,"Enalapril Maleate 200mg Drops used for treatment"
MED0053,Omez,Ramipril,Antibiotic,Zydus Cadila,Gel,400mg,267.61,500ml,4374,19,UW5470,2025-02-20,2026-09-14,Yes,OTC,Protect from moisture and light,"Ramipril 400mg Gel used for treatment"
MED0054,Ranitidine,Atenolol,Antacid,Intas Pharma,Gel,500mg,932.50,200ml,1852,63,QR7031,2024-01-15,2027-09-06,No,OTC,Store below 25°C in a dry place,"Atenolol 500mg Gel used for treatment"
MED0055,Rantac,Metoprolol Succinate,Antipsychotic,Zydus Cadila,Injection,15ml,899.35,15,4349,69,OR5071,2025-06-18,2026-07-21,Yes,X,Refrigerate at 2-8°C,"Metoprolol Succinate 15ml Injection used for treatment"
MED0056,Famotidine,Bisoprolol,Antipsychotic,Abbott India,Ointment,5ml,231.30,15,546,166,KY5076,2024-11-11,2029-05-09,No,G,Store in cool and dry place,"Bisoprolol 5ml Ointment used for treatment"
MED0057,Sucralfate,Carvedilol,Vitamin,AstraZeneca,Injection,150mg,978.86,20,601,86,JX4433,2024-12-06,2029-06-25,No,H,Store below 30°C away from light,"Carvedilol 150mg Injection used for treatment"
MED0058,Gelusil,Clopidogrel Bisulfate,Anxiolytic,Cadila Healthcare,Solution,5%,782.43,100,4422,148,LE5553,2024-07-28,2028-05-26,Yes,H,Store below 25°C in a dry place,"Clopidogrel Bisulfate 5% Solution used for treatment"
MED0059,Digene,Warfarin Sodium,Antiviral,Ipca Labs,Syrup,25mg,578.89,30,2397,182,EI6893,2024-02-24,2027-09-07,Yes,H,Store in cool and dry place,"Warfarin Sodium 25mg Syrup used for treatment"
MED0060,Gaviscon,Enoxaparin Sodium,Antipsychotic,Dr. Reddy's,Drops,12.5mg,520.82,100ml,938,128,IB6479,2025-02-02,2028-01-02,No,X,Protect from moisture and light,"Enoxaparin Sodium 12.5mg Drops used for treatment"
MED0061,Metformin,Atorvastatin Calcium,Anticonvulsant,Sun Pharma,Gel,400mg,909.58,30,3148,41,YM7541,2024-09-16,2028-08-25,Yes,X,Store below 25°C in a dry place,"Atorvastatin Calcium 400mg Gel used for treatment"
MED0062,Glucophage,Rosuvastatin Calcium,Vitamin,Hetero Labs,Injection,1g,167.94,500ml,153,104,OT2398,2024-04-10,2029-04-07,No,H1,Protect from moisture and light,"Rosuvastatin Calcium 1g Injection used for treatment"
MED0063,Glimepiride,Fenofibrate,Corticosteroid,Sanofi India,Syrup,400mg,785.94,60,4099,55,NF7100,2025-06-17,2029-10-22,No,H1,Store below 25°C in a dry place,"Fenofibrate 400mg Syrup used for treatment"
MED0064,Amaryl,Ezetimibe,Antibiotic,Sun Pharma,Capsule,2.5mg,582.75,20,4577,104,ZQ9180,2025-03-21,2028-01-13,No,H,Store at room temperature (15-30°C),"Ezetimibe 2.5mg Capsule used for treatment"
MED0065,Januvia,Levothyroxine Sodium,Statin,GSK Pharma,Suppository,37.5mg,874.81,20,1266,15,NQ4927,2024-08-18,2029-01-18,Yes,X,Refrigerate at 2-8°C,"Levothyroxine Sodium 37.5mg Suppository used for treatment"
MED0066,Galvus,Carbimazole,Antiparasitic,Ajanta Pharma,Cream,2.5mg,676.18,20,4321,160,YV9283,2025-10-11,2029-11-16,No,H,Refrigerate at 2-8°C,"Carbimazole 2.5mg Cream used for treatment"
MED0067,Trajenta,Prednisolone,Antiparasitic,Natco Pharma,Tablet,250mg,662.77,100ml,3782,144,KE1589,2025-07-14,2026-01-15,No,H1,Store at room temperature (15-30°C),"Prednisolone 250mg Tablet used for treatment"
MED0068,Jardiance,Dexamethasone,Anticonvulsant,Bayer India,Injection,62.5mg,79.65,30,767,180,RO8163,2025-08-12,2029-07-24,No,H,Store below 30°C away from light,"Dexamethasone 62.5mg Injection used for treatment"
MED0069,Invokana,Hydrocortisone,Antiparasitic,Cadila Healthcare,Capsule,5ml,159.47,200ml,3081,174,ZV4491,2024-12-25,2026-03-14,No,X,Keep in a dry place away from sunlight,"Hydrocortisone 5ml Capsule used for treatment"
MED0070,Mixtard,Betamethasone,Calcium Supplement,MSD Pharma,Suppository,1g,988.50,100ml,3096,113,ZK5751,2024-12-19,2028-03-18,Yes,H1,Store at room temperature (15-30°C),"Betamethasone 1g Suppository used for treatment"
MED0071,Huminsulin,Deflazacort,Antihistamine,Glenmark Pharma,Ointment,12.5mg,146.99,10,4631,74,KC9888,2024-02-19,2028-04-09,Yes,OTC,Store below 30°C away from light,"Deflazacort 12.5mg Ointment used for treatment"
MED0072,Lantus,Prednisone,Antifungal,Glenmark Pharma,Drops,1%,443.16,100ml,2733,74,RE6257,2024-09-10,2028-01-23,Yes,G,Store in cool and dry place,"Prednisone 1% Drops used for treatment"
MED0073,Amlodipine,Desloratadine,Antipsychotic,Natco Pharma,Suspension,100mg,646.70,20,3824,49,JT4381,2025-01-03,2028-02-01,Yes,X,Store below 25°C in a dry place,"Desloratadine 100mg Suspension used for treatment"
MED0074,Amlopress,Bilastine,Anticoagulant,Lupin Ltd.,Suppository,50mg,772.53,20,3593,19,DB8770,2024-06-02,2029-06-22,No,H,Store at room temperature (15-30°C),"Bilastine 50mg Suppository used for treatment"
MED0075,Telmisartan,Chlorpheniramine Maleate,Antihistamine,Intas Pharma,Suspension,50mg,296.08,200ml,540,124,ZO5526,2025-06-28,2027-04-28,No,X,Store at room temperature (15-30°C),"Chlorpheniramine Maleate 50mg Suspension used for treatment"
MED0076,Telma,Hydroxyzine HCl,Vitamin,Sanofi India,Patch,10mg,704.78,100ml,9,112,BD4335,2024-07-16,2028-07-19,Yes,H,Store at room temperature (15-30°C),"Hydroxyzine HCl 10mg Patch used for treatment"
MED0077,Losartan,Promethazine HCl,PPI,Emcure Pharma,Capsule,15ml,976.12,500ml,2692,11,DW7702,2024-08-05,2026-08-28,No,H1,Store in cool and dry place,"Promethazine HCl 15ml Capsule used for treatment"
MED0078,Repace,Ondansetron HCl,Antibiotic,Intas Pharma,Injection,100mg,152.91,30,4941,95,HP9762,2025-02-08,2029-10-04,No,G,Protect from moisture and light,"Ondansetron HCl 100mg Injection used for treatment"
MED0079,Enalapril,Domperidone,Statin,AstraZeneca,Gel,800mg,601.37,60,4983,73,DC8423,2024-01-10,2029-07-10,Yes,G,Store below 25°C in a dry place,"Domperidone 800mg Gel used for treatment"
MED0080,Ramipril,Metoclopramide HCl,Antipsychotic,Cipla Ltd.,Injection,15ml,814.65,30,528,41,HV9748,2025-02-11,2029-12-07,No,G,Store below 30°C away from light,"Metoclopramide HCl 15ml Injection used for treatment"
MED0081,Atenolol,Alprazolam,Antidiabetic,Boehringer Ingelheim,Injection,800mg,428.81,20,2504,153,AU4359,2024-04-19,2029-12-20,Yes,G,Store in cool and dry place,"Alprazolam 800mg Injection used for treatment"
MED0082,Metoprolol,Clonazepam,Anticonvulsant,Abbott India,Gel,7.5mg,702.25,60,3079,108,UC5034,2024-07-23,2026-01-22,No,X,Store below 25°C in a dry place,"Clonazepam 7.5mg Gel used for treatment"
MED0083,Concor,Diazepam,Anticoagulant,Wockhardt Ltd.,Solution,1g,120.95,500ml,2210,125,GP2841,2025-04-16,2029-07-17,Yes,H,Store at room temperature (15-30°C),"Diazepam 1g Solution used for treatment"
MED0084,Cardivas,Lorazepam,Antidepressant,Dr. Reddy's,Inhaler,37.5mg,554.85,60,1709,183,DJ5390,2025-10-08,2029-04-25,Yes,H,Store at room temperature (15-30°C),"Lorazepam 37.5mg Inhaler used for treatment"
MED0085,Ecosprin-AV,Zolpidem Tartrate,Antidiabetic,Natco Pharma,Ointment,25mg,381.38,100,2359,136,ZT9979,2025-07-05,2028-05-06,No,X,Store below 25°C in a dry place,"Zolpidem Tartrate 25mg Ointment used for treatment"
MED0086,Clopidogrel,Melatonin,Opioid Analgesic,AstraZeneca,Gel,62.5mg,827.50,15,3106,152,BI1330,2024-01-12,2028-05-16,No,X,Refrigerate at 2-8°C,"Melatonin 62.5mg Gel used for treatment"
MED0087,Deplatt,Amitriptyline HCl,Bronchodilator,Novartis India,Drops,1%,136.37,15,4657,152,DV7812,2024-06-24,2027-10-23,Yes,H1,Store below 25°C in a dry place,"Amitriptyline HCl 1% Drops used for treatment"
MED0088,Warfarin,Fluoxetine HCl,Corticosteroid,Novartis India,Solution,100ml,998.36,100,4159,198,MI2044,2025-03-03,2026-05-10,No,H,Keep in a dry place away from sunlight,"Fluoxetine HCl 100ml Solution used for treatment"
MED0089,Heparin,Sertraline HCl,Anticonvulsant,Emcure Pharma,Gel,62.5mg,25.06,10,1366,163,QH1265,2025-04-01,2029-04-07,Yes,X,Refrigerate at 2-8°C,"Sertraline HCl 62.5mg Gel used for treatment"
MED0090,Enoxaparin,Escitalopram Oxalate,Antiparasitic,GSK Pharma,Inhaler,800mg,785.09,200ml,298,11,FH7444,2025-05-10,2028-12-19,Yes,G,Store in cool and dry place,"Escitalopram Oxalate 800mg Inhaler used for treatment"
MED0091,Atorvastatin,Paroxetine HCl,Antipsychotic,Micro Labs,Suspension,10ml,145.15,100,4481,22,LY2235,2024-11-16,2026-09-14,No,H,Keep in a dry place away from sunlight,"Paroxetine HCl 10ml Suspension used for treatment"
MED0092,Atorva,Duloxetine HCl,Corticosteroid,Zydus Cadila,Capsule,75mg,578.14,100ml,19,155,SH1719,2024-01-18,2029-11-14,Yes,X,Store at room temperature (15-30°C),"Duloxetine HCl 75mg Capsule used for treatment"
MED0093,Rosuvastatin,Venlafaxine HCl,Analgesic,Natco Pharma,Gel,200mg,771.09,30,4237,33,CZ8297,2025-12-13,2026-06-08,No,H,Refrigerate at 2-8°C,"Venlafaxine HCl 200mg Gel used for treatment"
MED0094,Crestor,Olanzapine,Bronchodilator,Glenmark Pharma,Drops,400mg,164.63,100,3992,90,VT5313,2024-08-16,2027-09-22,No,H,Store below 30°C away from light,"Olanzapine 400mg Drops used for treatment"
MED0095,Fenofibrate,Risperidone,Calcium Supplement,Biocon Ltd.,Ointment,12.5mg,871.41,200ml,4279,183,VH7650,2025-11-17,2026-12-20,Yes,H,Keep in a dry place away from sunlight,"Risperidone 12.5mg Ointment used for treatment"
MED0096,Ezetimibe,Quetiapine Fumarate,Antipyretic,Pfizer India,Injection,150mg,47.79,500ml,1925,32,DS2948,2025-06-02,2026-09-05,No,OTC,Protect from moisture and light,"Quetiapine Fumarate 150mg Injection used for treatment"
MED0097,Thyronorm,Aripiprazole,Antacid,Zydus Cadila,Inhaler,15ml,229.65,500ml,3436,25,TC3427,2025-05-04,2028-01-21,No,H1,Store below 30°C away from light,"Aripiprazole 15ml Inhaler used for treatment"
MED0098,Eltroxin,Lithium Carbonate,Anticoagulant,Boehringer Ingelheim,Solution,10mg,127.09,10,1889,173,FR8614,2024-11-16,2028-09-23,No,X,Store below 30°C away from light,"Lithium Carbonate 10mg Solution used for treatment"
MED0099,Levothyroxine,Sodium Valproate,Antifungal,Lupin Ltd.,Patch,12.5mg,578.86,60,524,200,TA4002,2025-05-12,2029-12-27,Yes,H,Store below 25°C in a dry place,"Sodium Valproate 12.5mg Patch used for treatment"
MED0100,Neomercazole,Carbamazepine,Vitamin,AstraZeneca,Injection,150mg,970.23,10,3047,81,GS2169,2024-09-09,2026-10-25,No,H1,Store below 30°C away from light,"Carbamazepine 150mg Injection used for treatment"
MED0101,Prednisolone,Phenytoin Sodium,Calcium Supplement,Sun Pharma,Capsule,10ml,629.05,60,1294,63,VK5217,2025-10-19,2028-07-09,Yes,H,Store in cool and dry place,"Phenytoin Sodium 10ml Capsule used for treatment"
MED0102,Wysolone,Levetiracetam,Anticoagulant,Wockhardt Ltd.,Cream,12.5mg,624.21,20,3511,61,VH5604,2025-02-19,2029-11-27,Yes,X,Store in cool and dry place,"Levetiracetam 12.5mg Cream used for treatment"
MED0103,Dexamethasone,Gabapentin,Statin,Biocon Ltd.,Capsule,1%,511.92,30,3586,86,SY3056,2025-08-16,2029-05-03,Yes,X,Refrigerate at 2-8°C,"Gabapentin 1% Capsule used for treatment"
MED0104,Hydrocortisone,Pregabalin,Anticonvulsant,Bayer India,Injection,300mg,525.05,100ml,3132,59,QS1088,2025-11-12,2027-10-11,No,G,Store below 25°C in a dry place,"Pregabalin 300mg Injection used for treatment"
MED0105,Betnesol,Topiramate,Antacid,Dr. Reddy's,Suppository,5ml,929.69,15,3292,26,HU5486,2025-06-13,2028-12-04,Yes,H,Keep in a dry place away from sunlight,"Topiramate 5ml Suppository used for treatment"
MED0106,Deflazacort,Tramadol HCl,Anxiolytic,Lupin Ltd.,Gel,25mg,438.22,100ml,4822,183,GO6279,2024-07-17,2027-02-12,No,X,Store below 30°C away from light,"Tramadol HCl 25mg Gel used for treatment"
MED0107,Prednisone,Tapentadol HCl,Antiviral,Abbott India,Suppository,20mg,376.48,15,3238,72,IV5274,2024-03-18,2028-10-24,Yes,OTC,Store below 25°C in a dry place,"Tapentadol HCl 20mg Suppository used for treatment"
MED0108,Cetirizine-D,Morphine Sulfate,Analgesic,Natco Pharma,Inhaler,75mg,201.30,15,4911,166,SO8839,2024-01-02,2028-04-22,No,H1,Protect from moisture and light,"Morphine Sulfate 75mg Inhaler used for treatment"
MED0109,Fexofenadine,Fentanyl Citrate,Antifungal,Emcure Pharma,Suppository,7.5mg,887.42,15,2109,75,FS6177,2024-10-02,2028-12-01,Yes,X,Keep in a dry place away from sunlight,"Fentanyl Citrate 7.5mg Suppository used for treatment"
MED0110,Desloratadine,Codeine Phosphate,Antidiabetic,Cipla Ltd.,Syrup,10mg,979.32,10,3303,102,WS2968,2025-09-18,2028-01-06,No,H1,Refrigerate at 2-8°C,"Codeine Phosphate 10mg Syrup used for treatment"
MED0111,Levocetirizine,Piroxicam,Antihistamine,Boehringer Ingelheim,Cream,1g,723.48,15,1012,74,PX1485,2024-10-27,2026-09-01,No,H1,Store below 30°C away from light,"Piroxicam 1g Cream used for treatment"
MED0112,Bilastine,Naproxen Sodium,Antiviral,Torrent Pharma,Capsule,500mg,807.92,30,2978,131,NR3844,2024-09-01,2028-02-27,No,H,Store at room temperature (15-30°C),"Naproxen Sodium 500mg Capsule used for treatment"
MED0113,Chlorpheniramine,Etoricoxib,Antihypertensive,Intas Pharma,Syrup,2%,611.91,30,536,159,XR7396,2025-08-17,2029-06-07,No,X,Keep in a dry place away from sunlight,"Etoricoxib 2% Syrup used for treatment"
MED0114,Hydroxyzine,Celecoxib,Iron Supplement,Hetero Labs,Injection,5mg,312.56,100ml,3041,42,OH8157,2024-11-05,2026-10-24,No,H,Store below 25°C in a dry place,"Celecoxib 5mg Injection used for treatment"
MED0115,Promethazine,Calcium Carbonate+Vitamin D3,Bronchodilator,Micro Labs,Cream,37.5mg,738.80,20,905,142,WW7168,2025-07-24,2026-11-21,Yes,G,Store below 25°C in a dry place,"Calcium Carbonate+Vitamin D3 37.5mg Cream used for treatment"
MED0116,Ondansetron,Cholecalciferol,NSAID,Lupin Ltd.,Suspension,400mg,558.97,200ml,1928,78,LQ4923,2025-04-18,2028-08-07,Yes,X,Keep in a dry place away from sunlight,"Cholecalciferol 400mg Suspension used for treatment"
MED0117,Domperidone,Zoledronic Acid,Opioid Analgesic,FDC Ltd.,Tablet,2%,127.49,100ml,4815,134,FV9978,2024-04-08,2029-11-06,Yes,OTC,Refrigerate at 2-8°C,"Zoledronic Acid 2% Tablet used for treatment"
